DEPARTMENT,DISTRICT,LOCALITY,YEAR,DATE,DISEASE,SPECIES_RAW,UTM_ZONE,UTM_HEMISPHERE,UTM_X,UTM_Y,LAT,LONG,GEOREFERENCING_TYPE,DATA_SOURCE,SPECIES_CLEAN,SPECIES_MATCHED,STATUS,CONFIDENCE,KINGDOM,PHYLUM,ORDER,FAMILY,GENUS,SPECIES,SPECIES _AI_Correct,Justification,Gemini_AI.app,DATE2,YEAR2
CANINDEYU,CURUGUATY,SAN ISIDRO,2013,2013-05-30,MALARIA,NA,21,S,NA,NA,-24.492095,-55.695563,CENTROIDE LOCALIDAD,Dataset_anopheles.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-30,2013
ALTO PARANA,ITAKYRY,PASO CADENA,2017,2017-08-02,MALARIA,ANOPHELES SPP,21,S,NA,NA,-24.96782683,-55.33240557,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2017-08-02,2017
CENTRAL,LUQUE,CANADA SAN RAFAEL,2020,2020-02-27,MALARIA,ANOPHELES SPP,21,S,NA,NA,-25.305029,-57.456763,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2020-02-27,2020
CENTRAL,LUQUE,CANADA SAN RAFAEL,2020,2020-08-12,MALARIA,ANOPHELES SPP,21,S,NA,NA,-25.305029,-57.456763,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2020-08-12,2020
GUAIRA,COLONIA IDEPENDENCIA,LAS MERCEDES,2020,2020-11-11,MALARIA,ANOPHELES SPP,21,S,NA,NA,-25.720159,-56.2186285,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2020-11-11,2020
CENTRAL,LUQUE,CANADA SAN RAFAEL,2021,2021-06-15,MALARIA,ANOPHELES SPP,21,S,NA,NA,-25.307256,-57.457682,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2021-06-15,2021
NEEMBUCU,PILAR,SAN VICENTE,2021,2021-08-25,MALARIA,ANOPHELES SPP,21,S,NA,NA,-26.844685,-58.312427,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2021-08-25,2021
GUAIRA,COLONIA IDEPENDENCIA,COLONIA MELGAREJO,2021,2021-09-28,MALARIA,ANOPHELES SPP,21,S,NA,NA,-25.719286,-56.215293,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2021-09-28,2021
NEEMBUCU,PILAR,SAN VICENTE,2021,2021-11-10,MALARIA,ANOPHELES SPP,21,S,NA,NA,-26.844685,-58.312427,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2021-11-10,2021
PARAGUARI,PARAGUARI,SAN FRANCISCO,2021,2021-12-15,MALARIA,ANOPHELES SPP,21,S,NA,NA,-25.632856,-57.144637,NA,Dataset_anopheles.csv,ANOPHELES SPP,"Anopheles Meigen, 1818",ACCEPTED,94,Animalia,Arthropoda,Diptera,Culicidae,Anopheles,NA,"Anopheles Meigen, 1818","The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013).",https://gemini.google.com/share/1becd26ba066,2021-12-15,2021
CANINDEYU,LA PALOMA,MICROCENTRO,2002,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2002
CANINDEYU,SALTO DEL GUAIRA,MICROCENTRO,2002,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773153,7336440,-24.0607114413934,-54.3138218883143,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2002
CANINDEYU,LA PALOMA,MICROCENTRO,2003,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2003
CANINDEYU,SALTO DEL GUAIRA,NA,2003,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773153,7336440,-24.0607114413934,-54.3138218883143,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2003
CANINDEYU,LA PALOMA,MICROCENTRO,2004,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2004
CANINDEYU,FRANCISCO CABALLERO ALVAREZ,NA,2004,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,736934,7326129,-24.1596020996034,-54.6680648542396,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2004
CANINDEYU,FRANCISCO  CABALLERO  ALVAREZ,NA,2005,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,736934,7326129,-24.1596020996034,-54.6680648542396,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2005
CANINDEYU,LA PALOMA,MICROCENTRO,2005,NA,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,NA,2005
CANINDEYU,SALTO DEL GUAIRA,PRIMAVERA,NA,2011-02-24,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773403,7335916,-24.0653959220419,-54.3112669211576,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,2011-02-24,2011
CANINDEYU,SALTO DEL GUAIRA,VILLA NUEVA,NA,2011-02-24,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773403,7335916,-24.0653959220419,-54.3112669211576,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,2011-02-24,2011
